ola,columna,valor,total_apariciones
LAT2000,A_007_071,-6.0,2231
LAT2000,A_007_071,10.0,1478
LAT2000,A_007_071,4.0,1245
LAT2000,A_007_071,3.0,1135
LAT2000,A_007_071,8.0,1098
LAT2000,A_007_071,6.0,1064
LAT2000,A_007_071,7.0,1040
LAT2000,A_007_071,-1.0,973
LAT2000,A_007_071,1.0,728
LAT2000,A_007_071,9.0,710
LAT2000,A_007_071,0.0,700
LAT2000,A_007_071,2.0,668
LAT2000,A_007_071,-2.0,273
LAT2001,A_007_071,5.0,4722
LAT2001,A_007_071,-6.0,2673
LAT2001,A_007_071,10.0,2402
LAT2001,A_007_071,6.0,1452
LAT2001,A_007_071,-1.0,1433
LAT2001,A_007_071,8.0,1264
LAT2001,A_007_071,7.0,1211
LAT2001,A_007_071,4.0,1031
LAT2001,A_007_071,3.0,1001
LAT2001,A_007_071,1.0,920
LAT2001,A_007_071,9.0,791
LAT2001,A_007_071,2.0,676
LAT2001,A_007_071,0.0,562
LAT2001,A_007_071,-2.0,493
LAT2002,A_007_071,5.0,4533
LAT2002,A_007_071,-6.0,3925
LAT2002,A_007_071,10.0,2751
LAT2002,A_007_071,-1.0,1480
LAT2002,A_007_071,8.0,1084
LAT2002,A_007_071,6.0,1046
LAT2002,A_007_071,0.0,1008
LAT2002,A_007_071,3.0,997
LAT2002,A_007_071,4.0,989
LAT2002,A_007_071,7.0,938
LAT2002,A_007_071,2.0,691
LAT2002,A_007_071,9.0,576
LAT2002,A_007_071,1.0,544
LAT2002,A_007_071,-2.0,444
LAT2003,A_007_071,5.0,4618
LAT2003,A_007_071,-6.0,3099
LAT2003,A_007_071,10.0,2277
LAT2003,A_007_071,-1.0,1989
LAT2003,A_007_071,3.0,1242
LAT2003,A_007_071,4.0,1159
LAT2003,A_007_071,8.0,1152
LAT2003,A_007_071,6.0,1142
LAT2003,A_007_071,7.0,998
LAT2003,A_007_071,0.0,976
LAT2003,A_007_071,2.0,800
LAT2003,A_007_071,1.0,722
LAT2003,A_007_071,9.0,539
LAT2003,A_007_071,-2.0,420
LAT2004,A_007_071,5.0,5220
LAT2004,A_007_071,-6.0,2653
LAT2004,A_007_071,10.0,1956
LAT2004,A_007_071,4.0,1756
LAT2004,A_007_071,-1.0,1650
LAT2004,A_007_071,3.0,1618
LAT2004,A_007_071,6.0,1274
