year;variable;question
2003;H_002_111;p21stb
2004;H_002_111;p32stb
2005;H_002_111;p42stf
2006;H_002_111;p24st_d
2007;H_002_111;p27st_f
2008;H_002_111;p31st_c
2009;H_002_111;p24st_c
2010;H_002_111;P18ST_C
2011;H_002_111;P20ST_C
2013;H_002_111;P28TGB_B
2015;H_002_111;P16TGB_B
2016;H_002_111;P13STGBSB
2017;H_002_111;P14STGBS_B
2018;H_002_111;P15STGBSC.B
2020;H_002_111;P13STGBS_B
2023;H_002_111;P13STGBS_B
2024;H_002_111;P14STGBS.B
1995;H_002_131;p27l
1996;H_002_131;p33l
1997;H_002_131;sp63h
1998;H_002_131;sp38h
2000;H_002_131;P35ST_H
2001;H_002_131;p63sta
2002;H_002_131;p36sta
2003;H_002_131;p21stc
2004;H_002_131;p32stf
2005;H_002_131;p45stb
2006;H_002_131;p35st_c
2007;H_002_131;p24st_i
2008;H_002_131;p31st_e
2009;H_002_131;p24st_e
2010;H_002_131;P18ST_E
2011;H_002_131;P20ST_E
2013;H_002_131;P28TGB_D
2015;H_002_131;P16TGB_D
2016;H_002_131;
2017;H_002_131;
2018;H_002_131;
2020;H_002_131;
2023;H_002_131;
2024;H_002_131;P14ST.K
1995;H_002_161;p27b
1996;H_002_161;p33b
1997;H_002_161;sp63b
1998;H_002_161;sp38b
2000;H_002_161;P35ST_B
2001;H_002_161;p61stb
2002;H_002_161;p36stb
2003;H_002_161;p21stg
2004;H_002_161;p32stg
2005;H_002_161;p42stb
2006;H_002_161;p32st_e
2007;H_002_161;p27st_d
2008;H_002_161;p28st_d
2009;H_002_161;p26st_d
2010;H_002_161;P20ST_D
2011;H_002_161;P22ST_D
2013;H_002_161;P28TGB_A
2015;H_002_161;P16TGB_A
2016;H_002_161;P13STGBSA
2017;H_002_161;P14STGBS_A
2018;H_002_161;P15STGBSC.A
2020;H_002_161;P13STGBS_A
2023;H_002_161;P13STGBS_A
2024;H_002_161;P14STGBS.A
1995;H_002_241;p27j
1996;H_002_241;p33j
1997;H_002_241;sp63g
1998;H_002_241;sp38g
2000;H_002_241;P35ST_G
2001;H_002_241;p61stg
2002;H_002_241;p34stf
2003;H_002_241;p21std
2004;H_002_241;p34std
2005;H_002_241;p47stb
2006;H_002_241;p24st_c
2007;H_002_241;p27st_e
2008;H_002_241;p28st_c
2009;H_002_241;p26st_c
2010;H_002_241;P20ST_C
2011;H_002_241;P22ST_C
2013;H_002_241;P26TGB_G
2015;H_002_241;P19ST_C
2016;H_002_241;P13STG
2017;H_002_241;P14ST_G
2018;H_002_241;P15STGBSC.G
2020;H_002_241;P13ST_G
2023;H_002_241;P13ST_G
2024;H_002_241;P14ST.G
1995;I_001_001;p17
1996;I_001_001;p16
1997;I_001_001;sp24
1998;I_001_001;sp22
2000;I_001_001;
2001;I_001_001;p18na
2002;I_001_001;p8sta
2003;I_001_001;p75sta
2004;I_001_001;p51sta
2005;I_001_001;p82sta
2006;I_001_001;p68st_a
2007;I_001_001;p71st_a
2008;I_001_001;p72st_a
2009;I_001_001;p73stm_a
2010;I_001_001;P70ST_A
2011;I_001_001;P80ST_A
2013;I_001_001;P68ST_A
2015;I_001_001;P60ST
2016;I_001_001;P37ST
2017;I_001_001;P65ST_B
2018;I_001_001;P69ST.2
2020;I_001_001;P64ST
2023;I_001_001;P58ST
2024;I_001_001;P50ST.A
1995;S_001;s1
1996;S_001;s1
1997;S_001;s1
1998;S_001;s1
2000;S_001;S1
2001;S_001;s1
2002;S_001;s1
2003;S_001;s1
2004;S_001;s1
2005;S_001;s6
2006;S_001;s6
2007;S_001;s10
2008;S_001;s8
2009;S_001;s5
2010;S_001;S7
2011;S_001;S16
2013;S_001;S10
2015;S_001;S12
2016;S_001;SEXO
2017;S_001;SEXO
2018;S_001;SEXO
2020;S_001;SEXO
2023;S_001;SEXO
2024;S_001;SEXO
1995;S_002;s2
1996;S_002;s2
1997;S_002;s2
1998;S_002;s2
2000;S_002;S2
2001;S_002;s2
2002;S_002;s2
2003;S_002;s2
2004;S_002;s2
2005;S_002;s7
2006;S_002;s7
2007;S_002;s11
2008;S_002;s9
2009;S_002;s6
2010;S_002;S8
2011;S_002;S17
2013;S_002;S11
2015;S_002;S13
2016;S_002;EDAD
2017;S_002;EDAD
2018;S_002;EDAD
2020;S_002;EDAD
2023;S_002;EDAD
2024;S_002;EDAD
1995;S_101;s20
1996;S_101;s16a
1997;S_101;s12a
1998;S_101;s14a
2000;S_101;reeduc1
2001;S_101;reeduc1
2002;S_101;reeduc1
2003;S_101;s18
2004;S_101;reeduc1
2005;S_101;reeduc1
2006;S_101;reeduc1
2007;S_101;reeduc1
2008;S_101;reeduc1
2009;S_101;reeduc1
2010;S_101;REEDUC1
2011;S_101;REEDUC1
2013;S_101;REEDUC_1
2015;S_101;REEDUC_1
2016;S_101;REEDUC_1
2017;S_101;REEDUC_1
2018;S_101;
2020;S_101;REEDUC_1
2023;S_101;REEEDUC_1
2024;S_101;REEDUC.1
1995;S_200;s10
1996;S_200;s7a
1997;S_200;s7a
1998;S_200;s7a
2000;S_200;S8A
2001;S_200;s8a
2002;S_200;s8a
2003;S_200;s8a
2004;S_200;s8a
2005;S_200;s13a
2006;S_200;s13a
2007;S_200;s17a
2008;S_200;s17a
2009;S_200;s14a
2010;S_200;S16A
2011;S_200;S23A
2013;S_200;S19_A
2015;S_200;S21_A
2016;S_200;S18A
2017;S_200;S18_A
2018;S_200;S14A
2020;S_200;S24_A
2023;S_200;S18_A
